epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2353,2.30083,4.01885,2.51108,0.00106,0.375,0.0021,0.00062,2.03611,4.74108,2.37392,0.09703,3e-05,3e-05
2,33.0903,1.48358,3.65265,1.69949,0.00095,0.33333,0.00131,0.00032,2.41205,5.0356,2.73515,0.0930697,6.97228e-05,6.97228e-05
3,49.1135,1.45978,3.41489,1.52823,0.00189,0.35,0.00409,0.00132,3.28001,5.06169,3.83058,0.0891091,0.000109129,0.000109129
4,66.605,1.42921,2.8555,1.4696,0.00077,0.29167,0.12838,0.03007,3.86377,5.3099,4.79501,0.0851482,0.000148218,0.000148218
5,82.5006,1.43847,2.4652,1.43676,0.00676,0.70833,0.23144,0.09539,2.9321,4.70461,3.4132,0.081187,0.00018699,0.00018699
6,99.0716,1.40438,2.50959,1.5125,0.00198,0.70833,0.18595,0.09497,2.00937,3.83858,2.08718,0.0772254,0.000225446,0.000225446
7,115.244,1.48512,2.33308,1.4573,0.09868,0.95833,0.33332,0.15974,1.91218,3.57237,2.00408,0.0732636,0.000263585,0.000263585
8,131.095,1.40299,1.98654,1.35436,0.0543,0.95833,0.37417,0.1925,1.74387,3.33088,1.89895,0.0693014,0.000301407,0.000301407
9,146.511,1.44679,2.01892,1.55591,0.03601,0.95833,0.45236,0.23442,1.61265,3.1296,1.76266,0.0653389,0.000338912,0.000338912
10,162.049,1.52305,1.95387,1.47715,0.02102,0.95833,0.50984,0.20689,1.9329,3.10169,1.97216,0.0613761,0.0003761,0.0003761
11,177.555,1.52919,1.89134,1.51182,0.64468,0.54022,0.74495,0.31284,1.91444,2.70903,2.00331,0.057413,0.000412972,0.000412972
12,192.998,1.47961,1.65574,1.42988,0.90781,0.47778,0.8025,0.40346,1.68852,2.46991,1.88861,0.0534495,0.000449527,0.000449527
13,208.493,1.51569,1.60779,1.55689,0.83662,0.48977,0.78151,0.37365,1.87678,2.54104,2.09093,0.0494858,0.000485765,0.000485765
14,223.923,1.43452,1.45711,1.43923,0.92544,0.34881,0.79713,0.31095,2.03301,2.73642,2.23317,0.0455217,0.000521686,0.000521686
15,239.358,1.52806,1.50299,1.47737,0.82014,0.3411,0.85651,0.3847,2.03641,2.73357,2.20296,0.0415573,0.00055729,0.00055729
16,254.761,1.47953,1.37042,1.42859,0.74463,0.64629,0.86394,0.45513,1.87901,2.33317,2.17762,0.0375926,0.000592578,0.000592578
