epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7745,1.74806,3.59754,2.21947,0.76764,0.49829,0.50515,0.3527,1.24523,3.33078,1.94078,8.75e-05,8.75e-05,8.75e-05
2,49.2939,1.21484,2.51651,1.66939,0.61681,0.86619,0.70618,0.45868,1.3681,4.55517,1.97469,0.000175125,0.000175125,0.000175125
3,73.1984,1.32262,2.18297,1.64268,0.52002,0.9,0.70045,0.47461,1.25001,3.50203,1.7092,0.00024955,0.00024955,0.00024955
4,96.7916,1.23995,1.70641,1.45334,0.7889,0.50034,0.60267,0.34325,1.34956,2.68727,1.71733,0.000310775,0.000310775,0.000310775
5,120.401,1.26273,1.64291,1.50293,0.91338,0.90917,0.92952,0.57542,1.29908,2.07447,1.66432,0.0003588,0.0003588,0.0003588
6,144.101,1.23479,1.92829,1.53903,0.62745,0.90278,0.91049,0.5768,1.42772,2.44089,1.72624,0.000393625,0.000393625,0.000393625
7,167.322,1.26382,1.66847,1.5553,0.86802,0.99105,0.95354,0.64593,1.11714,1.48994,1.59637,0.00041525,0.00041525,0.00041525
8,190.957,1.18064,1.49424,1.56366,0.77982,0.80441,0.95354,0.64633,1.06554,1.75452,1.66046,0.000423675,0.000423675,0.000423675
9,214.179,1.22708,1.37725,1.52909,0.83495,0.95,0.94096,0.65844,1.22992,1.59417,1.76355,0.0004189,0.0004189,0.0004189
10,237.387,1.21764,1.23512,1.46621,0.92419,0.95,0.92258,0.62778,1.38285,1.34813,1.87995,0.000400925,0.000400925,0.000400925
11,260.884,1.17148,1.22023,1.49592,0.90844,0.95,0.91517,0.61678,1.42845,1.34605,1.88214,0.00036975,0.00036975,0.00036975
12,283.981,1.17888,1.10776,1.56512,0.90074,0.95,0.92214,0.66208,1.22106,1.29748,1.62303,0.000325375,0.000325375,0.000325375
13,312.268,1.13804,1.05349,1.50428,0.91059,0.93561,0.93583,0.65806,1.2795,1.16909,1.56398,0.00026,0.00026,0.00026
14,778.984,1.15412,1.10289,1.51241,0.89253,0.93108,0.93773,0.61838,1.38114,1.10437,1.63034,0.0001775,0.0001775,0.0001775
15,802.858,1.15388,0.98784,1.51065,0.90182,0.95,0.93773,0.62241,1.31263,1.05908,1.57194,9.5e-05,9.5e-05,9.5e-05
