epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3507,2.63678,4.56602,2.93158,0.42917,0.05,0.16474,0.06504,1.70091,4.02327,1.8577,0.09703,3e-05,3e-05
2,69.7147,1.76009,2.95076,2.03848,0.64144,0.16667,0.25198,0.07955,1.85187,3.80952,1.99073,0.0930697,6.97228e-05,6.97228e-05
3,102.649,1.64696,2.326,1.79799,0.02438,0.55833,0.04625,0.0126,1.81512,4.09899,2.07038,0.0891091,0.000109129,0.000109129
4,136.395,1.58692,1.87546,1.729,0.58829,0.26989,0.31107,0.10251,2.16737,3.48789,2.14707,0.0851482,0.000148218,0.000148218
5,169.244,1.49337,1.56916,1.52466,0.39945,0.24167,0.26798,0.12215,1.86759,3.27579,2.03395,0.081187,0.00018699,0.00018699
6,202.547,1.52627,1.45862,1.55707,0.39004,0.225,0.33208,0.19248,1.78289,3.30932,1.98327,0.0772254,0.000225446,0.000225446
7,235.886,1.59235,1.50815,1.51289,0.56502,0.2642,0.43535,0.24607,1.73346,3.46002,1.89174,0.0732636,0.000263585,0.000263585
8,269.261,1.52844,1.2695,1.42804,0.73073,0.54793,0.60124,0.36758,1.45872,3.34485,1.74873,0.0693014,0.000301407,0.000301407
9,302.446,1.53203,1.22387,1.57588,0.63908,0.80342,0.79622,0.40959,1.71942,3.39582,2.03094,0.0653389,0.000338912,0.000338912
10,335.595,1.63196,1.22178,1.52976,0.82006,0.85304,0.86994,0.1901,2.51428,2.88949,2.78648,0.0613761,0.0003761,0.0003761
11,368.995,1.59942,1.15957,1.51084,0.76158,0.86667,0.85877,0.33311,2.32378,3.54462,2.44164,0.057413,0.000412972,0.000412972
12,402.408,1.48751,1.09228,1.47277,0.87637,0.90833,0.90824,0.43989,1.81195,3.12859,1.9512,0.0534495,0.000449527,0.000449527
13,435.508,1.50343,1.11197,1.55504,0.7666,0.8191,0.73906,0.31502,2.2906,2.10059,2.62932,0.0494858,0.000485765,0.000485765
14,468.862,1.53272,1.14044,1.56812,0.84132,0.86667,0.81745,0.3409,2.21751,2.50464,2.59307,0.0455217,0.000521686,0.000521686
15,501.773,1.52785,1.24855,1.52601,0.58271,0.85833,0.79261,0.41497,1.85289,2.56448,2.30134,0.0415573,0.00055729,0.00055729
16,535.592,1.53567,1.1025,1.51058,0.63018,0.65916,0.72567,0.40335,1.72466,2.29406,2.15092,0.0375926,0.000592578,0.000592578
17,568.753,1.59175,1.31438,1.59582,0.86046,0.90127,0.8669,0.45821,1.7746,2.09448,2.21024,0.0336275,0.000627549,0.000627549
18,602.193,1.60666,1.23975,1.55903,0.77452,0.85833,0.83691,0.46406,1.89911,1.9945,2.32457,0.0296622,0.000662203,0.000662203
19,635.297,1.47714,1.06402,1.44303,0.80602,0.74799,0.76763,0.41335,1.90482,1.59736,2.2239,0.0256965,0.00069654,0.00069654
20,669.16,1.47681,1.04958,1.49897,0.47847,0.79498,0.74493,0.37968,1.82879,1.95828,2.07964,0.0217306,0.00073056,0.00073056
21,702.045,1.46685,1.09681,1.47511,0.53391,0.80833,0.67873,0.33051,1.77348,2.02343,2.13207,0.0177643,0.000764264,0.000764264
22,734.227,1.4373,1.20861,1.54258,0.66899,0.84458,0.78249,0.39717,1.77598,2.37064,2.26885,0.0137977,0.000797651,0.000797651
23,767.004,1.55993,1.29115,1.57968,0.81176,0.81775,0.76322,0.42288,1.61439,2.82528,2.1318,0.00983072,0.000830721,0.000830721
24,798.679,1.50135,1.22741,1.61086,0.74849,0.94912,0.76961,0.40554,1.69458,2.65742,2.15797,0.00586347,0.000863474,0.000863474
25,830.611,1.46044,1.07558,1.54018,0.87783,0.89777,0.86655,0.45014,1.82848,2.17348,2.33203,0.00189591,0.00089591,0.00089591
26,862.271,1.55377,1.17655,1.59871,0.76733,0.82014,0.89068,0.46346,1.84979,2.19328,2.39545,0.000901,0.000901,0.000901
27,894.513,1.49172,1.08555,1.56791,0.67352,0.90715,0.8717,0.45297,1.8401,2.48059,2.20381,0.00089704,0.00089704,0.00089704
28,926.66,1.51515,1.09546,1.54932,0.68716,0.90833,0.87136,0.44415,1.84539,2.98306,2.17694,0.00089308,0.00089308,0.00089308
29,958.491,1.44524,1.12878,1.52151,0.83304,0.70833,0.87165,0.44452,1.77938,4.23455,2.04981,0.00088912,0.00088912,0.00088912
30,990.63,1.4108,1.10973,1.43668,0.95476,0.69564,0.8877,0.47764,1.71063,3.781,1.9621,0.00088516,0.00088516,0.00088516
31,1022.29,1.43629,1.07468,1.47544,0.60418,0.90833,0.85449,0.5471,1.52234,2.38022,1.79946,0.0008812,0.0008812,0.0008812
32,1054.15,1.4903,1.12189,1.56118,0.78225,0.90833,0.88223,0.53817,1.57135,1.49487,1.80814,0.00087724,0.00087724,0.00087724
33,1086.1,1.40392,1.15162,1.44995,0.76479,0.87807,0.85082,0.43878,1.79227,1.36918,2.06982,0.00087328,0.00087328,0.00087328
34,1118.21,1.42148,1.06746,1.49871,0.73166,0.90833,0.87323,0.39435,1.89247,1.45509,2.20203,0.00086932,0.00086932,0.00086932
35,1150.36,1.46775,1.03737,1.46432,0.71439,0.85833,0.88036,0.49147,1.64799,1.35065,1.8851,0.00086536,0.00086536,0.00086536
36,1182.51,1.45382,1.15626,1.61253,0.83575,0.86569,0.89505,0.53674,1.57699,1.15736,1.8526,0.0008614,0.0008614,0.0008614
37,1215.66,1.4793,1.1538,1.52424,0.76869,0.90833,0.89741,0.55601,1.59102,1.10856,2.00147,0.00085744,0.00085744,0.00085744
38,1248.24,1.41402,1.10504,1.53341,0.8805,0.90833,0.88927,0.55777,1.5767,1.10869,1.95968,0.00085348,0.00085348,0.00085348
39,1280.17,1.47274,1.11784,1.53968,0.89542,0.90833,0.89726,0.5396,1.73694,1.47715,2.07235,0.00084952,0.00084952,0.00084952
40,1312.7,1.3977,1.04134,1.50697,0.9019,0.90833,0.90323,0.48164,1.78422,1.58333,2.10172,0.00084556,0.00084556,0.00084556
41,1345.01,1.34797,1.04425,1.44907,0.87907,0.89669,0.92112,0.52541,1.64494,1.48327,1.90942,0.0008416,0.0008416,0.0008416
42,1377.66,1.39943,1.04206,1.55568,0.88639,0.90833,0.91119,0.53142,1.58259,1.24271,1.84464,0.00083764,0.00083764,0.00083764
43,1410.84,1.45009,1.03264,1.49909,0.89617,0.90833,0.91157,0.51969,1.56275,1.16761,1.81404,0.00083368,0.00083368,0.00083368
44,1443,1.47562,1.1253,1.54522,0.85629,0.90833,0.89794,0.49431,1.66189,1.13875,1.88073,0.00082972,0.00082972,0.00082972
45,1474.69,1.52753,1.04225,1.52474,0.74921,0.90833,0.90847,0.46759,1.82047,1.17028,2.00875,0.00082576,0.00082576,0.00082576
46,1506.52,1.37575,1.04953,1.47248,0.72704,0.93876,0.92544,0.4511,1.86939,1.23191,2.02496,0.0008218,0.0008218,0.0008218
47,1538.16,1.48022,1.04444,1.47287,0.74394,0.90833,0.85732,0.46872,1.83425,1.2936,1.98505,0.00081784,0.00081784,0.00081784
48,1570.07,1.34565,1.00842,1.4361,0.81694,0.85833,0.86679,0.45164,1.76623,1.43659,1.92174,0.00081388,0.00081388,0.00081388
49,1602.53,1.42609,1.02872,1.49378,0.86354,0.85833,0.8798,0.42839,1.80023,1.33905,1.99306,0.00080992,0.00080992,0.00080992
50,1634.68,1.40362,1.09208,1.47947,0.81424,0.93777,0.88331,0.45607,1.76189,1.21285,1.9559,0.00080596,0.00080596,0.00080596
51,1666.95,1.33935,0.98465,1.31317,0.91565,0.90833,0.90184,0.5,1.66244,1.22607,1.85167,0.000802,0.000802,0.000802
52,1699.22,1.32996,1.05698,1.38505,0.87181,0.95833,0.91459,0.45779,1.69084,1.24569,1.87256,0.00079804,0.00079804,0.00079804
53,1731.21,1.33118,0.97589,1.36761,0.92339,0.90833,0.89823,0.45312,1.73099,1.19167,1.9007,0.00079408,0.00079408,0.00079408
54,1763.6,1.36455,0.95525,1.36191,0.92291,0.90833,0.89316,0.45538,1.7845,1.10731,1.9287,0.00079012,0.00079012,0.00079012
55,1795.88,1.294,0.92017,1.37994,0.92058,0.90833,0.89293,0.44571,1.80893,1.06972,1.96105,0.00078616,0.00078616,0.00078616
56,1828.06,1.33985,0.89359,1.37265,0.91378,0.90833,0.89334,0.46953,1.77025,0.99746,1.95347,0.0007822,0.0007822,0.0007822
57,1860.35,1.39948,0.95011,1.48255,0.89887,0.90563,0.90425,0.49333,1.69961,0.9512,1.89129,0.00077824,0.00077824,0.00077824
58,1892.61,1.35064,0.97414,1.41461,0.88674,0.90192,0.90796,0.51322,1.60789,0.89563,1.79706,0.00077428,0.00077428,0.00077428
